Supplier,Location,Working days,Division,Vehicle Number,Vehicle Type, Rental , Rental (As per the Working days) , Total KM , OT , Night Out , Excess milage , Excess milage Rate , Excess Amount , OT Amount , Night Out Amount , Total with out VAT , Rental VAT 18% , Total with VAT , Absent  , Temporary  hired vehicle charges , Penalty Amount , No pay rate , No pay Amount , Credit amount with out VAT , Credit VAT Total 18% , Credit amount with VAT , Final Payment with out VAT , Final Payment  VAT 18% , Final Payment with  VAT 
Prime,Welikada,30.00,Pool,CAQ-5544,Passenger Car," 139,500.00 "," 139,500.00 "," 3,741.00 ", 116.50 , 6.00 ," 1,241.00 ", 53.40 ," 66,269.40 "," 11,009.25 "," 3,150.00 "," 219,928.65 "," 39,587.16 "," 259,515.81 ", -   , -   , -   ," 4,650.00 ",, -   , -   , -   ," 219,928.65 "," 39,587.16 "," 259,515.81 "
Prime,Welikada,30.00,Pool,CAO-1292,Passenger Car," 139,500.00 "," 139,500.00 "," 4,824.00 ", 122.00 , -   ," 2,324.00 ", 53.40 ," 124,101.60 "," 11,529.00 ", -   ," 275,130.60 "," 49,523.51 "," 324,654.11 ", -   , -   , -   ," 4,650.00 ",, -   , -   , -   ," 275,130.60 "," 49,523.51 "," 324,654.11 "
Prime,Welikada,27.00,Pool,KF-4993,Passenger Car," 139,500.00 "," 125,550.00 "," 3,536.00 ", 84.00 , -   ," 1,036.00 ", 53.40 ," 55,322.40 "," 7,938.00 ", -   ," 188,810.40 "," 33,985.87 "," 222,796.27 ", 3.00 , -   ," 6,000.00 "," 4,650.00 ",," (6,000.00)"," (1,080.00)"," (7,080.00)"," 182,810.40 "," 32,905.87 "," 215,716.27 "
Prime,Welikada,30.00,Pool,CAW-7120,Passenger Car," 139,500.00 "," 139,500.00 "," 4,098.00 ", 74.50 , 5.00 ," 1,598.00 ", 53.40 ," 85,333.20 "," 7,040.25 "," 2,625.00 "," 234,498.45 "," 42,209.72 "," 276,708.17 ", -   , -   , -   ," 4,650.00 ",, -   , -   , -   ," 234,498.45 "," 42,209.72 "," 276,708.17 "
Prime,Welikada,30.00,Pool,CBC-0290,Passenger Car," 139,500.00 "," 139,500.00 "," 3,864.00 ", 66.50 , 1.00 ," 1,364.00 ", 53.40 ," 72,837.60 "," 6,284.25 ", 525.00 ," 219,146.85 "," 39,446.43 "," 258,593.28 ", -   , -   , -   ," 4,650.00 ",, -   , -   , -   ," 219,146.85 "," 39,446.43 "," 258,593.28 "
Prime,Welikada,30.00,Pool,CAU-7591,Passenger Car," 139,500.00 "," 139,500.00 "," 4,103.00 ", 91.50 , 5.00 ," 1,603.00 ", 53.40 ," 85,600.20 "," 8,646.75 "," 2,625.00 "," 236,371.95 "," 42,546.95 "," 278,918.90 ", -   , -   , -   ," 4,650.00 ",, -   , -   , -   ," 236,371.95 "," 42,546.95 "," 278,918.90 "
Prime,Welikada,30.00,Pool,CAZ-3165,Passenger Car," 139,500.00 "," 139,500.00 "," 4,506.00 ", 96.00 , 3.00 ," 2,006.00 ", 53.40 ," 107,120.40 "," 9,072.00 "," 1,575.00 "," 257,267.40 "," 46,308.13 "," 303,575.53 ", -   , -   , -   ," 4,650.00 ",, -   , -   , -   ," 257,267.40 "," 46,308.13 "," 303,575.53 "
Prime,Welikada,30.00,Pool,KX-8277,Passenger Car," 139,500.00 "," 139,500.00 "," 3,681.00 ", 70.00 , 1.00 ," 1,181.00 ", 53.40 ," 63,065.40 "," 6,615.00 ", 525.00 ," 209,705.40 "," 37,746.97 "," 247,452.37 ", -   , -   , -   ," 4,650.00 ",, -   , -   , -   ," 209,705.40 "," 37,746.97 "," 247,452.37 "
Prime,Welikada,30.00,Pool,KS-2082,Passenger Car," 139,500.00 "," 139,500.00 "," 3,636.00 ", 86.50 , 2.00 ," 1,136.00 ", 53.40 ," 60,662.40 "," 8,174.25 "," 1,050.00 "," 209,386.65 "," 37,689.60 "," 247,076.25 ", -   , -   , -   ," 4,650.00 ",, -   , -   , -   ," 209,386.65 "," 37,689.60 "," 247,076.25 "
Prime,Welikada,29.00,Pool,CBF-3501,Passenger Car," 139,500.00 "," 134,850.00 "," 2,678.00 ", 32.50 , -   , 178.00 , 53.40 ," 9,505.20 "," 3,071.25 ", -   ," 147,426.45 "," 26,536.76 "," 173,963.21 ", 1.00 , -   ," 2,000.00 "," 4,650.00 ",," (2,000.00)", (360.00)," (2,360.00)"," 145,426.45 "," 26,176.76 "," 171,603.21 "
Prime,Welikada,29.00,Pool,CBJ-9817,Passenger Car," 139,500.00 "," 134,850.00 "," 2,948.00 ", 51.50 , 2.00 , 448.00 , 53.40 ," 23,923.20 "," 4,866.75 "," 1,050.00 "," 164,689.95 "," 29,644.19 "," 194,334.14 ", 1.00 , -   ," 2,000.00 "," 4,650.00 ",," (2,000.00)", (360.00)," (2,360.00)"," 162,689.95 "," 29,284.19 "," 191,974.14 "
